ckpt_path: ./log/train/model.ckpt-1011
Tensor("shigenet2/branch_crop/pw-conv3/Relu:0", shape=(?, 1, 1, 10), dtype=float32)
79 1.0 [b'000141.jpg'] [b'IMG_2376'] engi1_l engi1_l
80 1.0 [b'000142.jpg'] [b'IMG_2376'] engi1_l engi1_l
81 0.0 [b'000143.jpg'] [b'IMG_2376'] engi1_l kawakami_bench
82 0.0 [b'000144.jpg'] [b'IMG_2376'] engi1_l engi1_r
83 1.0 [b'000145.jpg'] [b'IMG_2376'] engi1_l engi1_l
84 0.0 [b'000146.jpg'] [b'IMG_2376'] engi1_l engi1_r
85 0.0 [b'000147.jpg'] [b'IMG_2376'] engi1_l engi1_r
86 1.0 [b'000148.jpg'] [b'IMG_2376'] engi1_l engi1_l
87 0.0 [b'000149.jpg'] [b'IMG_2376'] engi1_l kawakami_bench
88 1.0 [b'000150.jpg'] [b'IMG_2376'] engi1_l engi1_l
89 0.0 [b'000151.jpg'] [b'IMG_2376'] engi1_l engi1_r
90 0.0 [b'000152.jpg'] [b'IMG_2376'] engi1_l engi1_r
91 1.0 [b'000153.jpg'] [b'IMG_2376'] engi1_l engi1_l
92 0.0 [b'000154.jpg'] [b'IMG_2376'] engi1_l engi1_r
93 0.0 [b'000155.jpg'] [b'IMG_2376'] engi1_l engi1_r
94 1.0 [b'000156.jpg'] [b'IMG_2376'] engi1_l engi1_l
95 1.0 [b'000157.jpg'] [b'IMG_2376'] engi1_l engi1_l
96 0.0 [b'000158.jpg'] [b'IMG_2376'] engi1_l engi1_r
97 1.0 [b'000159.jpg'] [b'IMG_2376'] engi1_l engi1_l
98 1.0 [b'000160.jpg'] [b'IMG_2376'] engi1_l engi1_l
99 0.0 [b'000161.jpg'] [b'IMG_2376'] engi1_l engi1_r
100 1.0 [b'000162.jpg'] [b'IMG_2376'] engi1_l engi1_l
101 1.0 [b'000163.jpg'] [b'IMG_2376'] engi1_l engi1_l
102 1.0 [b'000164.jpg'] [b'IMG_2376'] engi1_l engi1_l
103 1.0 [b'000165.jpg'] [b'IMG_2376'] engi1_l engi1_l
104 0.0 [b'000166.jpg'] [b'IMG_2376'] engi1_l engi1_r
105 1.0 [b'000167.jpg'] [b'IMG_2376'] engi1_l engi1_l
106 1.0 [b'000168.jpg'] [b'IMG_2376'] engi1_l engi1_l
107 1.0 [b'000169.jpg'] [b'IMG_2376'] engi1_l engi1_l
108 1.0 [b'000170.jpg'] [b'IMG_2376'] engi1_l engi1_l
109 0.0 [b'000171.jpg'] [b'IMG_2376'] engi1_l engi1_r
110 0.0 [b'000172.jpg'] [b'IMG_2376'] engi1_l engi1_r
111 1.0 [b'000173.jpg'] [b'IMG_2376'] engi1_l engi1_l
112 0.0 [b'000174.jpg'] [b'IMG_2376'] engi1_l engi1_r
113 1.0 [b'000175.jpg'] [b'IMG_2376'] engi1_l engi1_l
114 1.0 [b'000176.jpg'] [b'IMG_2376'] engi1_l engi1_l
115 1.0 [b'000177.jpg'] [b'IMG_2376'] engi1_l engi1_l
116 1.0 [b'000178.jpg'] [b'IMG_2376'] engi1_l engi1_l
117 0.0 [b'000179.jpg'] [b'IMG_2376'] engi1_l engi1_r
118 0.0 [b'000180.jpg'] [b'IMG_2376'] engi1_l engi1_r
119 1.0 [b'000181.jpg'] [b'IMG_2376'] engi1_l engi1_l
120 1.0 [b'000182.jpg'] [b'IMG_2376'] engi1_l engi1_l
121 1.0 [b'000183.jpg'] [b'IMG_2376'] engi1_l engi1_l
122 1.0 [b'000184.jpg'] [b'IMG_2376'] engi1_l engi1_l
123 1.0 [b'000185.jpg'] [b'IMG_2376'] engi1_l engi1_l
124 1.0 [b'000186.jpg'] [b'IMG_2376'] engi1_l engi1_l
125 1.0 [b'000187.jpg'] [b'IMG_2376'] engi1_l engi1_l
126 1.0 [b'000188.jpg'] [b'IMG_2376'] engi1_l engi1_l
127 1.0 [b'000189.jpg'] [b'IMG_2376'] engi1_l engi1_l
128 1.0 [b'000190.jpg'] [b'IMG_2376'] engi1_l engi1_l
129 1.0 [b'000191.jpg'] [b'IMG_2376'] engi1_l engi1_l
130 1.0 [b'000192.jpg'] [b'IMG_2376'] engi1_l engi1_l
131 1.0 [b'000193.jpg'] [b'IMG_2376'] engi1_l engi1_l
132 1.0 [b'000194.jpg'] [b'IMG_2376'] engi1_l engi1_l
133 1.0 [b'000195.jpg'] [b'IMG_2376'] engi1_l engi1_l
134 1.0 [b'000196.jpg'] [b'IMG_2376'] engi1_l engi1_l
135 1.0 [b'000197.jpg'] [b'IMG_2376'] engi1_l engi1_l
136 1.0 [b'000198.jpg'] [b'IMG_2376'] engi1_l engi1_l
137 1.0 [b'000199.jpg'] [b'IMG_2376'] engi1_l engi1_l
138 1.0 [b'000200.jpg'] [b'IMG_2376'] engi1_l engi1_l
139 1.0 [b'000201.jpg'] [b'IMG_2376'] engi1_l engi1_l
140 1.0 [b'000202.jpg'] [b'IMG_2376'] engi1_l engi1_l
141 1.0 [b'000203.jpg'] [b'IMG_2376'] engi1_l engi1_l
142 1.0 [b'000204.jpg'] [b'IMG_2376'] engi1_l engi1_l
143 1.0 [b'000205.jpg'] [b'IMG_2376'] engi1_l engi1_l
144 1.0 [b'000206.jpg'] [b'IMG_2376'] engi1_l engi1_l
145 1.0 [b'000207.jpg'] [b'IMG_2322'] engi1_l engi1_l
146 1.0 [b'000208.jpg'] [b'IMG_2322'] engi1_l engi1_l
147 1.0 [b'000209.jpg'] [b'IMG_2322'] engi1_l engi1_l
148 1.0 [b'000210.jpg'] [b'IMG_2322'] engi1_l engi1_l
149 0.0 [b'000211.jpg'] [b'IMG_2322'] engi1_l izumikawa_l
150 1.0 [b'000212.jpg'] [b'IMG_2322'] engi1_l engi1_l
151 1.0 [b'000213.jpg'] [b'IMG_2322'] engi1_l engi1_l
152 1.0 [b'000214.jpg'] [b'IMG_2322'] engi1_l engi1_l
153 1.0 [b'000215.jpg'] [b'IMG_2322'] engi1_l engi1_l
154 0.0 [b'000216.jpg'] [b'IMG_2322'] engi1_l izumikawa_r
155 1.0 [b'000217.jpg'] [b'IMG_2322'] engi1_l engi1_l
156 1.0 [b'000218.jpg'] [b'IMG_2322'] engi1_l engi1_l
157 1.0 [b'000219.jpg'] [b'IMG_2322'] engi1_l engi1_l
158 1.0 [b'000220.jpg'] [b'IMG_2322'] engi1_l engi1_l
159 1.0 [b'000221.jpg'] [b'IMG_2322'] engi1_l engi1_l
160 1.0 [b'000222.jpg'] [b'IMG_2322'] engi1_l engi1_l
161 1.0 [b'000223.jpg'] [b'IMG_2322'] engi1_l engi1_l
162 1.0 [b'000224.jpg'] [b'IMG_2322'] engi1_l engi1_l
163 1.0 [b'000225.jpg'] [b'IMG_2322'] engi1_l engi1_l
164 1.0 [b'000226.jpg'] [b'IMG_2322'] engi1_l engi1_l
165 1.0 [b'000227.jpg'] [b'IMG_2322'] engi1_l engi1_l
166 1.0 [b'000228.jpg'] [b'IMG_2322'] engi1_l engi1_l
167 1.0 [b'000229.jpg'] [b'IMG_2322'] engi1_l engi1_l
168 1.0 [b'000230.jpg'] [b'IMG_2322'] engi1_l engi1_l
169 1.0 [b'000231.jpg'] [b'IMG_2322'] engi1_l engi1_l
170 1.0 [b'000232.jpg'] [b'IMG_2322'] engi1_l engi1_l
171 1.0 [b'000233.jpg'] [b'IMG_2322'] engi1_l engi1_l
172 1.0 [b'000234.jpg'] [b'IMG_2322'] engi1_l engi1_l
173 1.0 [b'000235.jpg'] [b'IMG_2322'] engi1_l engi1_l
174 1.0 [b'000236.jpg'] [b'IMG_2322'] engi1_l engi1_l
175 1.0 [b'000237.jpg'] [b'IMG_2322'] engi1_l engi1_l
176 1.0 [b'000238.jpg'] [b'IMG_2322'] engi1_l engi1_l
177 1.0 [b'000239.jpg'] [b'IMG_2322'] engi1_l engi1_l
178 1.0 [b'000240.jpg'] [b'IMG_2322'] engi1_l engi1_l
179 1.0 [b'000241.jpg'] [b'IMG_2322'] engi1_l engi1_l
180 1.0 [b'000242.jpg'] [b'IMG_2322'] engi1_l engi1_l
181 1.0 [b'000243.jpg'] [b'IMG_2322'] engi1_l engi1_l
182 1.0 [b'000244.jpg'] [b'IMG_2322'] engi1_l engi1_l
183 1.0 [b'000245.jpg'] [b'IMG_2322'] engi1_l engi1_l
184 1.0 [b'000246.jpg'] [b'IMG_2322'] engi1_l engi1_l
185 1.0 [b'000247.jpg'] [b'IMG_2322'] engi1_l engi1_l
186 1.0 [b'000248.jpg'] [b'IMG_2322'] engi1_l engi1_l
187 1.0 [b'000249.jpg'] [b'IMG_2322'] engi1_l engi1_l
188 1.0 [b'000250.jpg'] [b'IMG_2322'] engi1_l engi1_l
189 1.0 [b'000251.jpg'] [b'IMG_2322'] engi1_l engi1_l
190 1.0 [b'000252.jpg'] [b'IMG_2322'] engi1_l engi1_l
191 1.0 [b'000253.jpg'] [b'IMG_2322'] engi1_l engi1_l
192 1.0 [b'000254.jpg'] [b'IMG_2322'] engi1_l engi1_l
193 0.0 [b'000255.jpg'] [b'IMG_2322'] engi1_l izumikawa_r
194 1.0 [b'000256.jpg'] [b'IMG_2322'] engi1_l engi1_l
195 1.0 [b'000257.jpg'] [b'IMG_2322'] engi1_l engi1_l
196 1.0 [b'000258.jpg'] [b'IMG_2322'] engi1_l engi1_l
197 1.0 [b'000259.jpg'] [b'IMG_2322'] engi1_l engi1_l
198 1.0 [b'000260.jpg'] [b'IMG_2322'] engi1_l engi1_l
199 1.0 [b'000261.jpg'] [b'IMG_2322'] engi1_l engi1_l
200 1.0 [b'000262.jpg'] [b'IMG_2322'] engi1_l engi1_l
201 1.0 [b'000263.jpg'] [b'IMG_2322'] engi1_l engi1_l
202 1.0 [b'000264.jpg'] [b'IMG_2322'] engi1_l engi1_l
203 1.0 [b'000265.jpg'] [b'IMG_2322'] engi1_l engi1_l
204 0.0 [b'000266.jpg'] [b'IMG_2322'] engi1_l izumikawa_r
205 1.0 [b'000267.jpg'] [b'IMG_2322'] engi1_l engi1_l
206 1.0 [b'000268.jpg'] [b'IMG_2322'] engi1_l engi1_l
207 0.0 [b'000269.jpg'] [b'IMG_2322'] engi1_l izumikawa_r
208 1.0 [b'000270.jpg'] [b'IMG_2322'] engi1_l engi1_l
209 1.0 [b'000271.jpg'] [b'IMG_2322'] engi1_l engi1_l
210 1.0 [b'000272.jpg'] [b'IMG_2322'] engi1_l engi1_l
211 1.0 [b'000273.jpg'] [b'IMG_2322'] engi1_l engi1_l
212 1.0 [b'000274.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
213 0.0 [b'000275.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
214 0.0 [b'000276.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
215 1.0 [b'000277.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
216 0.0 [b'000278.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l corp_l
217 1.0 [b'000279.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
218 0.0 [b'000280.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
219 1.0 [b'000281.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
220 0.0 [b'000282.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
221 1.0 [b'000283.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
222 1.0 [b'000284.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
223 1.0 [b'000285.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
224 0.0 [b'000286.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
225 1.0 [b'000287.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
226 1.0 [b'000288.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
227 1.0 [b'000289.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
228 1.0 [b'000290.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
229 0.0 [b'000291.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
230 1.0 [b'000292.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
231 1.0 [b'000293.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
232 1.0 [b'000294.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
233 1.0 [b'000295.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
234 1.0 [b'000296.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
235 1.0 [b'000297.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
236 0.0 [b'000298.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
237 1.0 [b'000299.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
238 1.0 [b'000300.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
239 1.0 [b'000301.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
240 1.0 [b'000302.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
241 1.0 [b'000303.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
242 0.0 [b'000304.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
243 1.0 [b'000305.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
244 1.0 [b'000306.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
245 0.0 [b'000307.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
246 1.0 [b'000308.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
247 1.0 [b'000309.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
248 1.0 [b'000310.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
249 1.0 [b'000311.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
250 1.0 [b'000312.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
251 0.0 [b'000313.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l corp_l
252 1.0 [b'000314.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
253 0.0 [b'000315.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
254 1.0 [b'000316.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
255 0.0 [b'000317.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
256 0.0 [b'000318.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
257 1.0 [b'000319.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
258 1.0 [b'000320.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
259 1.0 [b'000321.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
260 1.0 [b'000322.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
261 1.0 [b'000323.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
262 1.0 [b'000324.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
263 1.0 [b'000325.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
264 1.0 [b'000326.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
265 1.0 [b'000327.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
266 0.0 [b'000328.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
267 1.0 [b'000329.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
268 0.0 [b'000330.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
269 1.0 [b'000331.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
270 1.0 [b'000332.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
271 0.0 [b'000333.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
272 1.0 [b'000334.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
273 1.0 [b'000335.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
274 1.0 [b'000336.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
275 1.0 [b'000337.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
276 1.0 [b'000338.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
277 1.0 [b'000339.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
278 0.0 [b'000340.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
279 1.0 [b'000341.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
280 0.0 [b'000342.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l corp_l
281 0.0 [b'000343.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
282 0.0 [b'000344.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
283 1.0 [b'000345.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
284 0.0 [b'000346.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
285 1.0 [b'000347.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
286 1.0 [b'000348.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
287 1.0 [b'000349.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
288 1.0 [b'000350.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
289 0.0 [b'000351.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
290 1.0 [b'000352.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
291 0.0 [b'000353.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
292 1.0 [b'000354.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
293 1.0 [b'000355.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
294 0.0 [b'000356.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
295 0.0 [b'000357.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
296 1.0 [b'000358.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
297 1.0 [b'000359.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
298 0.0 [b'000360.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
299 1.0 [b'000361.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
300 0.0 [b'000362.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_l
301 1.0 [b'000363.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
302 1.0 [b'000364.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
303 1.0 [b'000365.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
304 0.0 [b'000366.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
305 1.0 [b'000367.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
306 1.0 [b'000368.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
307 1.0 [b'000369.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
308 1.0 [b'000370.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
309 1.0 [b'000371.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
310 1.0 [b'000372.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
311 0.0 [b'000373.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
312 1.0 [b'000374.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
313 1.0 [b'000375.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
314 0.0 [b'000376.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
315 0.0 [b'000377.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
316 1.0 [b'000378.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
317 1.0 [b'000379.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
318 1.0 [b'000380.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
319 1.0 [b'000381.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
320 1.0 [b'000382.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
321 1.0 [b'000383.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
322 0.0 [b'000384.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l kawakami_bench
323 0.0 [b'000385.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l izumikawa_r
324 1.0 [b'000386.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
325 1.0 [b'000387.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
326 1.0 [b'000388.jpg'] [b'seesaa(sun)1-4_resized'] engi1_l engi1_l
